小分类,题目,答案
spazio di frenatura,Lo spazio di frenatura diventa nove volte maggiore se la velocità si triplica,V
spazio di frenatura,Lo spazio di frenatura diventa sedici volte maggiore se la velocità si quadruplica,V
spazio di frenatura,Lo spazio di frenatura è indipendente dalla velocità,F
spazio di frenatura,Lo spazio di frenatura si raddoppia se la velocità si raddoppia,F
diminuzione e aumento spazio frenatura,Lo spazio di frenatura aumenta se l'aderenza tra pneumatico e asfalto è bassa,V
diminuzione e aumento spazio frenatura,Lo spazio di frenatura aumenta se la strada è innevata,V
diminuzione e aumento spazio frenatura,Lo spazio di frenatura aumenta se la strada è bagnata,V
diminuzione e aumento spazio frenatura,Lo spazio di frenatura aumenta se la strada è in discesa,V
diminuzione e aumento spazio frenatura,Lo spazio di frenatura diminuisce se la strada è in salita,V
diminuzione e aumento spazio frenatura,Lo spazio di frenatura diminuisce Se il conducente ha i riflessi pronti,F
diminuzione e aumento spazio frenatura,Lo spazio di frenatura diminuisce se le ruote si bloccano,F
diminuzione e aumento spazio frenatura,Lo spazio di frenatura diminuisce sul tratto in discesa di un dosso,F
diminuzione e aumento spazio frenatura,Lo spazio di frenatura aumenta se la strada è in salita,F
diminuzione e aumento spazio frenatura,Lo spazio di frenatura diminuisce se la strada è in discesa,F
spazio di arresto,Lo spazio totale di arresto è pari allo spazio percorso nel tempo di reazione più quello percorso durante la frenata,V
spazio di arresto,Lo spazio totale di arresto dipende dalla velocità,V
spazio di arresto,Lo spazio totale di arresto dipende dall'usura dei pneumatici,V
spazio di arresto,Lo spazio totale di arresto dipende dalle condizioni dell'asfalto,V
spazio di arresto,Lo spazio totale di arresto è indipendente dall'usura dei pneumatici,F
spazio di arresto,Lo spazio totale di arresto è indipendente dalle condizioni dell'asfalto,F
spazio di arresto,Lo spazio totale di arresto è pari allo spazio percorso nel tempo di reazione,F
spazio di arresto,Lo spazio totale di arresto è pari allo spazio percorso durante la frenata,F
spazio di arresto,Lo spazio totale di arresto non dipende dalla velocità,F
aumento spazio di arresto,Lo spazio totale di arresto aumenta se aumenta la velocità,V
aumento spazio di arresto,Lo spazio totale di arresto aumenta se la strada è innevata,V
aumento spazio di arresto,Lo spazio totale di arresto aumenta se la strada è coperta di fango,V
aumento spazio di arresto,Lo spazio totale di arresto aumenta se i pneumatici sono usurati,V
aumento spazio di arresto,Lo spazio totale di arresto aumenta se i pneumatici non sono usurati,F
aumento spazio di arresto,Lo spazio totale di arresto aumenta se diminuisce la velocità,F
aumento spazio di arresto,Lo spazio totale di arresto aumenta se l'asfalto è ruvido,F
condizioni che influiscono sulla distanza di sicurezza,Sulla distanza di sicurezza influisce la concentrazione del conducente,V
condizioni che influiscono sulla distanza di sicurezza,Sulla distanza di sicurezza influisce la velocità a cui si viaggia,V
condizioni che influiscono sulla distanza di sicurezza,Sulla distanza di sicurezza influisce il carico trasportato dal veicolo,V
condizioni che influiscono sulla distanza di sicurezza,Sulla distanza di sicurezza influiscono l'aderenza e le condizioni dei pneumatici,V
condizioni che influiscono sulla distanza di sicurezza,Sulla distanza di sicurezza influisce l'efficienza del freno di servizio,V
condizioni che influiscono sulla distanza di sicurezza,Sulla distanza di sicurezza influisce il numero di corsie della strada,F
condizioni che influiscono sulla distanza di sicurezza,Sulla distanza di sicurezza influisce la dimensione del veicolo che precede,F
condizioni che influiscono sulla distanza di sicurezza,Sulla distanza di sicurezza influisce il numero di marce del cambio di velocità,F
condizioni che influiscono sulla distanza di sicurezza,Sulla distanza di sicurezza influisce il numero di ruote del veicolo,F
condizioni che influiscono sulla distanza di sicurezza,Sulla distanza di sicurezza da mantenere dal veicolo che precede influisce il tipo di servosterzo utilizzato,F
la distanza di sicurezza dipende da,"La distanza di sicurezza non dipende dal tipo di alimentazione del motore (benzina, gasolio, GPL)",V
la distanza di sicurezza dipende da,La distanza di sicurezza dipende dalle condizioni di salute del conducente,V
la distanza di sicurezza dipende da,La distanza di sicurezza dipende dall'attenzione e concentrazione del conducente durante la guida,V
la distanza di sicurezza dipende da,"Quando si marcia in colonna, conviene aumentare la distanza di sicurezza, per evitare tamponamenti a catena",V
la distanza di sicurezza dipende da,La distanza di sicurezza dipende dalla potenza del veicolo che precede,F
la distanza di sicurezza dipende da,La distanza di sicurezza dipende dall'efficienza del freno a mano,F
la distanza di sicurezza dipende da,La distanza di sicurezza dipende dalla presenza di veicoli che seguono,F
la distanza di sicurezza dipende da,La distanza di sicurezza deve essere mantenuta solo dai quadricicli a motore,F
metri distanza di sicurezza,"La distanza di sicurezza va sempre mantenuta, anche prima di iniziare un sorpasso",V
metri distanza di sicurezza,La distanza di sicurezza deve essere aumentata qualora sia difficile valutare il comportamento del conducente che precede,V
metri distanza di sicurezza,"La distanza di sicurezza deve essere tale da riuscire a fermare in tempo il veicolo, in caso di pericolo",V
metri distanza di sicurezza,La distanza di sicurezza deve essere almeno uguale ai metri che il veicolo percorre durante il tempo di reazione,V
metri distanza di sicurezza,La distanza di sicurezza deve essere sempre uguale allo spazio di frenatura del veicolo,F
distanza e veicoli,"La distanza di sicurezza deve essere aumentata quando il veicolo che precede trasporta un carico sporgente, poco stabile",V
distanza e veicoli,"La distanza di sicurezza deve essere di almeno 100 metri, in caso di forte pioggia",F
distanza e veicoli,La distanza di sicurezza può essere diminuita nelle gallerie,F
distanza e veicoli,"Quando si circola in autostrada, è possibile diminuire la distanza di sicurezza, in quanto non ci si aspetta una frenata improvvisa dal veicolo che precede",F
distanza e veicoli,"Se il veicolo che precede è un autocarro, si deve diminuire la distanza di sicurezza, in quanto i veicoli pesanti hanno uno spazio di frenatura molto più lungo rispetto agli altri veicoli",F
manovra in retromarcia,"Il veicolo S, muovendosi in retromarcia per immettersi nella circolazione, deve dare la precedenza ai veicoli provenienti sia da destra che da sinistra",V
manovra in retromarcia,"Il veicolo S, muovendosi in retromarcia per immettersi nella circolazione, deve azionare gli indicatori di direzione",V
manovra in retromarcia,"Il veicolo S, muovendosi in retromarcia per immettersi nella circolazione, deve fare attenzione agli eventuali pedoni in transito dietro di esso e dar loro la precedenza",V
manovra in retromarcia,"Il veicolo S, muovendosi in retromarcia per immettersi nella circolazione, deve dare la precedenza a tutti i veicoli in transito",V
manovra in retromarcia,"Il veicolo S, muovendosi in retromarcia per immettersi nella circolazione, deve assicurarsi che la strada sia libera e fare la manovra con particolare prudenza",V
manovra in retromarcia,"Il veicolo S, muovendosi in retromarcia per immettersi nella circolazione, deve azionare la segnalazione luminosa di pericolo",F
manovra in retromarcia,"Il veicolo S, muovendosi in retromarcia per immettersi nella circolazione, deve accendere la luce posteriore per nebbia",F
manovra in retromarcia,"Il veicolo S, muovendosi in retromarcia per immettersi nella circolazione, deve dare la precedenza solo ai veicoli che transitano nel suo senso di marcia",F
manovra in retromarcia,"Il veicolo S, muovendosi in retromarcia per immettersi nella circolazione, deve manovrare velocemente per liberare il posteggio",F
manovra in retromarcia,"Il veicolo S, muovendosi in retromarcia per immettersi nella circolazione, deve suonare ripetutamente il clacson durante la manovra",F
pericolo o intralcio alla circolazione,"E' vietato, in quanto costituisce pericolo o intralcio per la circolazione, tenersi sul margine sinistro della carreggiata per svoltare in una strada a destra",V
pericolo o intralcio alla circolazione,"E' vietato, in quanto costituisce pericolo o intralcio per la circolazione, sostare sui binari tramviari",V
pericolo o intralcio alla circolazione,"E' vietato, in quanto costituisce pericolo o intralcio per la circolazione, effettuare un cambiamento di direzione senza segnalare la manovra con sufficiente anticipo",V
pericolo o intralcio alla circolazione,"E' vietato, in quanto costituisce pericolo o intralcio per la circolazione, gareggiare in velocità",V
pericolo o intralcio alla circolazione,"E' vietato, in quanto costituisce pericolo o intralcio per la circolazione, circolare a velocità troppo bassa senza giustificato motivo",V
pericolo o intralcio alla circolazione,"E' vietato, in quanto costituisce pericolo o intralcio per la circolazione, immettersi nel flusso della circolazione provenendo da strade laterali",F
pericolo o intralcio alla circolazione,"E' vietato, in quanto costituisce pericolo o intralcio per la circolazione, regolare la velocità in relazione alle caratteristiche e condizioni delle strade",F
pericolo o intralcio alla circolazione,"E' vietato, in quanto costituisce pericolo o intralcio per la circolazione, fermare momentaneamente un veicolo lungo il margine destro di una carreggiata a senso unico",F
chi guida un veicolo,"Chi guida un veicolo, anche se ad elevate prestazioni, non deve, comunque, superare i limiti di velocità previsti dalla legge",V
chi guida un veicolo,"Chi guida un veicolo, anche se ad elevate prestazioni, deve dare, di norma, la precedenza nei crocevia a tutti i veicoli, che provengono da destra",V
chi guida un veicolo,"Chi guida un veicolo, anche se ad elevate prestazioni, deve evitare di costituire pericolo per gli altri utenti della strada",V
chi guida un veicolo,"Chi guida un veicolo, anche se ad elevate prestazioni, deve guardare nello specchietto retrovisore prima di segnalare l'intenzione di cambiare corsia",V
chi guida un veicolo,"Chi guida un veicolo, anche se ad elevate prestazioni, deve tenersi il più vicino possibile al margine destro della carreggiata, quando effettua una svolta a destra",V
chi guida un veicolo,"Chi guida un veicolo deve guidare sempre al centro della strada, però senza superare la striscia di corsia",F
chi guida un veicolo,Chi guida un veicolo deve tenere in funzione gli abbaglianti di giorno anche in città,F
chi guida un veicolo,"Chi guida un veicolo può sorpassare in ogni condizione di traffico, purché non ci sia il segnale di divieto",F
chi guida un veicolo,"Chi guida un veicolo deve usare il clacson nei centri abitati, ogni qualvolta ci si avvicina ad un attraversamento ciclabile",F
chi guida un veicolo,"Chi guida un veicolo può montare trombe bitonali per essere sentito più agevolmente, usandole però solo fuori dei centri abitati",F
carico sui veicoli,Sui motocicli è consentito il trasporto di animali se custoditi in apposita gabbia,V
carico sui veicoli,Il carico deve essere sistemato sui motocicli in modo da non sporgere lateralmente di oltre 50 cm,V
carico sui veicoli,Il carico deve essere sistemato sugli autoveicoli in modo da non diminuire la visibilità del conducente,V
carico sui veicoli,Il carico deve essere sistemato sugli autoveicoli in modo da non impedire la libertà di movimenti nella guida,V
carico sui veicoli,Il carico deve essere sistemato sugli autoveicoli in modo da evitarne la caduta,V
carico sui veicoli,Il carico deve essere sistemato sugli autoveicoli in modo da non sporgere dalla parte posteriore per più dei tre decimi della lunghezza del veicolo,V
carico sui veicoli,Il carico sugli autoveicoli non deve superare la portata indicata nella carta di circolazione,V
carico sui veicoli,Il carico deve essere sistemato sugli autoveicoli in modo da evitare la sporgenza laterale dello stesso per più di tre decimi della lunghezza del veicolo,F
carico sui veicoli,"Il carico deve essere sistemato sugli autoveicoli in modo da non superare di oltre il 10% l'altezza massima prevista dalla carta di circolazione, ma entro 4 metri",F
carico sui veicoli,Il carico deve essere sistemato sugli autoveicoli in modo da non superare di oltre il 10% la portata utile indicata sul documento di circolazione,F
carico sui veicoli,Il carico deve essere sistemato sugli autoveicoli in modo da sporgere dalla parte anteriore del veicolo di più dei tre decimi della sua lunghezza,F
carico sui veicoli,"Il carico deve essere segnalato, di giorno, con un panno rosso se sporge dalla parte posteriore",F
carico sui veicoli,La sporgenza posteriore del carico deve essere segnalata con un pannello retroriflettente a strisce gialle e rosse,F
carico sui veicoli,Sui motocicli in nessun caso è consentito trasportare un carico,F
carico sui veicoli,Sui motocicli è consentito trasportare sacchetti con la spesa anche se non saldamente assicurati,F
uso corretto della strada,L'uso corretto della strada comporta che i veicoli procedano ad una velocità adeguata alle condizioni della strada e del traffico,V
uso corretto della strada,L'uso corretto della strada comporta che siano osservate le norme di comportamento e quelle dettate dalla comune prudenza,V
uso corretto della strada,"L'uso corretto della strada comporta che ci si affretti a sgombrare l'incrocio, quando compaia sul semaforo la luce gialla fissa e non si è in grado di arrestare il veicolo in sicurezza prima della striscia di arresto",V
uso corretto della strada,L'uso corretto della strada comporta che si dia la precedenza ai pedoni che attraversano sugli attraversamenti pedonali,V
uso corretto della strada,L'uso corretto della strada comporta che si usino proiettori anabbaglianti nei centri abitati nelle ore notturne,V
uso corretto della strada,L'uso corretto della strada comporta che si guardino gli specchi retrovisori prima di azionare l'indicatore di direzione per cambiare corsia,V
uso corretto della strada,L'uso corretto della strada comporta che i veicoli impegnino sempre la carreggiata il più rapidamente possibile,F
uso corretto della strada,L'uso corretto della strada comporta che ci si arresti sempre ai passaggi pedonali ripartendo solo se non sopraggiungono pedoni,F
uso corretto della strada,L'uso corretto della strada comporta che si usino in ogni caso i proiettori a luce abbagliante,F
uso corretto della strada,L'uso corretto della strada comporta che ci si arresti in ogni caso in presenza del segnale in figura,F
uso corretto della strada,L'uso corretto della strada comporta che si proceda a velocità elevata per non creare intralcio,F
prossimità di incrocio,"Quando, giunti in prossimità di un incrocio, ci accorgiamo di aver sbagliato la corsia di preselezione dobbiamo seguire la direzione consentita dall'eventuale segnaletica orizzontale",V
prossimità di incrocio,"Quando, giunti in prossimità di un incrocio, ci accorgiamo di aver sbagliato la corsia di preselezione non dobbiamo effettuare cambiamenti di corsia, anche per non intralciare i veicoli che seguono",V
prossimità di incrocio,"Quando, giunti in prossimità di un incrocio, ci accorgiamo di aver sbagliato la corsia di preselezione non ci dobbiamo arrestare bruscamente, per evitare tamponamenti e confusione nella circolazione",V
prossimità di incrocio,"Quando, giunti in prossimità di un incrocio, ci accorgiamo di aver sbagliato la corsia di preselezione non ci dobbiamo fermare a chiedere informazioni, per non ostacolare il flusso della circolazione",V
prossimità di incrocio,"Quando, giunti in prossimità di un incrocio, ci accorgiamo di aver sbagliato la corsia di preselezione dobbiamo procedere nel senso voluto dalla segnaletica, dando le dovute precedenze",V
prossimità di incrocio,"Giungendo ad un incrocio, se non si è in grado di capire subito chi ha la precedenza, bisogna procedere con prudenza e accortezza",V
prossimità di incrocio,"Giungendo ad un incrocio, se non si è in grado di capire subito chi ha la precedenza, si può proseguire senza rallentare, se si sceglie di andare diritto",F
prossimità di incrocio,"Quando, giunti in prossimità di un incrocio, ci accorgiamo di aver sbagliato la corsia di preselezione dobbiamo effettuare la manovra di svolta che intendevamo fare, dando però precedenza a tutti i veicoli",F
prossimità di incrocio,"Quando, giunti in prossimità di un incrocio, ci accorgiamo di aver sbagliato la corsia di preselezione dobbiamo chiedere consiglio agli agenti del traffico",F
prossimità di incrocio,"Quando, giunti in prossimità di un incrocio, ci accorgiamo di aver sbagliato la corsia di preselezione dobbiamo azionare l'accensione simultanea di tutti gli indicatori di direzione, quale segnale di pericolo",F
prossimità di incrocio,"Quando, giunti in prossimità di un incrocio, ci accorgiamo di aver sbagliato la corsia di preselezione dobbiamo accostarci sulla destra e fermarci finché non sia passata la colonna dei veicoli che seguono",F
prossimità di incrocio,"Quando, giunti in prossimità di un incrocio, ci accorgiamo di aver sbagliato la corsia di preselezione cerchiamo di retrocedere, con prudenza, fino al punto in cui cessano le strisce continue di corsia",F
prossimità di incrocio,"Quando, giunti in prossimità di un incrocio, ci accorgiamo di aver sbagliato la corsia di preselezione dobbiamo arrivare al semaforo e attendere che la luce ci consenta di effettuare il cambio di corsia",F
centro abitato e pedone,"In un centro abitato, quando un pedone, fuori delle strisce di attraversamento, non accenni a darci la precedenza, è necessario ridurre la velocità e, occorrendo, fermarsi per non investirlo",V
centro abitato e pedone,"In un centro abitato, quando un pedone, fuori delle strisce di attraversamento, non accenni a darci la precedenza, è opportuno rallentare e avvisarlo con un breve colpo di clacson, in caso di pericolo immediato",V
centro abitato e pedone,"In un centro abitato, quando un pedone, fuori delle strisce di attraversamento, non accenni a darci la precedenza, è necessario ridurre la velocità fino a fermarsi tempestivamente, se occorre",V
centro abitato e pedone,"In un centro abitato, quando un pedone, fuori delle strisce di attraversamento, non accenni a darci la precedenza, è opportuno nelle ore notturne, procedere con gli abbaglianti accesi così che possa accorgersi di noi",F
centro abitato e pedone,"In un centro abitato, quando un pedone, fuori delle strisce di attraversamento, non accenni a darci la precedenza, è opportuno cercare di richiamare la sua attenzione con qualsiasi mezzo, perché ci dia la precedenza",F
centro abitato e pedone,"In un centro abitato, quando un pedone, fuori delle strisce di attraversamento, non accenni a darci la precedenza, è necessario proseguire, senza curarci di lui, perché abbiamo la precedenza",F
corteo in centro abitato,"Quando, in un centro abitato, il conducente di un veicolo si imbatte in un corteo, deve fermarsi sulla destra e attendere che la carreggiata si liberi",V
corteo in centro abitato,"Quando, in un centro abitato, il conducente di un veicolo si imbatte in un corteo, deve evitare di suonare il clacson",V
corteo in centro abitato,"È opportuno che il conducente di un veicolo, quando in un centro abitato si imbatte in un corteo, imbocchi, se possibile, una strada laterale, purché la manovra possa essere fatta in maniera corretta",V
corteo in centro abitato,"Quando, in un centro abitato, il conducente di un veicolo si imbatte in un corteo, deve accertarsi, prima di passare, che esso sia transitato completamente",V
corteo in centro abitato,"È opportuno che il conducente di un veicolo, quando in un centro abitato si imbatte in un corteo, eviti di retrocedere se ciò ostacola il flusso della circolazione",V
corteo in centro abitato,"È opportuno che il conducente di un veicolo, quando in un centro abitato si imbatte in un corteo, non faccia inversione di marcia, qualora ciò costituisca intralcio alla circolazione",V
corteo in centro abitato,"Quando, in un centro abitato, il conducente di un veicolo si imbatte in un corteo, deve suonare discretamente onde avvertire il corteo di far cessare al più presto l'ingombro",F
corteo in centro abitato,"Quando, in un centro abitato, il conducente di un veicolo si imbatte in un corteo, deve cercare di farsi strada interrompendo il corteo, ma con estrema prudenza",F
corteo in centro abitato,"È opportuno che il conducente di un veicolo, quando in un centro abitato si imbatte in un corteo, accenda le luci di profondità per vedere meglio ed evitare incidenti",F
corteo in centro abitato,"È opportuno che il conducente di un veicolo, quando in un centro abitato si imbatte in un corteo, se proprio ha molta fretta, passi rapidamente usando il clacson in maniera continua",F
corteo in centro abitato,"Quando, in un centro abitato, il conducente di un veicolo si imbatte in un corteo, deve regolarsi in base alla sua densità, oltrepassandolo o interrompendolo qualora sia possibile",F
corteo in centro abitato,"Quando, in un centro abitato, il conducente di un veicolo si imbatte in un corteo, deve retrocedere rapidamente fino al primo incrocio",F
incrocio urbano,"Quando ad un incrocio urbano, al segnale di via libera, il veicolo che precede tarda a riprendere la marcia, è opportuno attendere pazientemente la ripresa della marcia",V
incrocio urbano,"Quando ad un incrocio urbano, al segnale di via libera, il veicolo che precede tarda a riprendere la marcia, è opportuno evitare di suonare il clacson con insistenza e di provocare una situazione di intolleranza negli altri automobilisti",V
incrocio urbano,"Quando ad un incrocio urbano, al segnale di via libera, il veicolo che precede tarda a riprendere la marcia, è opportuno, se c'è bisogno ed è possibile farlo senza pericolo, prestare aiuto all'automobilista rimasto fermo",V
incrocio urbano,Nei centri abitati è vietato l'uso del segnalatore acustico per sollecitare il conducente del veicolo che precede a riprendere la marcia quando il semaforo diventa verde,V
incrocio urbano,"Quando ad un incrocio urbano, al segnale di via libera, il veicolo che precede tarda a riprendere la marcia, non si deve superarlo con manovre pericolose",V
incrocio urbano,"Quando ad un incrocio urbano, al segnale di via libera, il veicolo che precede tarda a riprendere la marcia, è opportuno suonare insistentemente per sollecitare il conducente a rimettersi in moto",F
incrocio urbano,"Quando ad un incrocio urbano, al segnale di via libera, il veicolo che precede tarda a riprendere la marcia, è opportuno richiamare con il clacson l'attenzione degli automobilisti che seguono",F
incrocio urbano,"Quando ad un incrocio urbano, al segnale di via libera, il veicolo che precede tarda a riprendere la marcia, è opportuno tirare il freno a mano e scendere per cercare un agente del traffico che prenda i dovuti provvedimenti",F
incrocio urbano,"Quando ad un incrocio urbano, al segnale di via libera, il veicolo che precede tarda a riprendere la marcia, è opportuno cercare di sgombrare al più presto la carreggiata, anche invertendo il senso di marcia",F
strada extraurbana di notte,"Allorché di notte, su strada extraurbana, incrociamo un veicolo con fari a luce abbagliante accesi, occorre procedere con prudenza, usando le luci anabbaglianti",V
strada extraurbana di notte,"Allorché di notte, su strada extraurbana, incrociamo un veicolo con fari a luce abbagliante accesi, occorre distogliere lo sguardo dal fascio luminoso per non essere abbagliati",V
strada extraurbana di notte,"Allorché di notte, su strada extraurbana, incrociamo un veicolo con fari a luce abbagliante accesi, occorre rallentare adeguatamente ed eventualmente fermarsi",V
strada extraurbana di notte,"Allorché di notte, su strada extraurbana, incrociamo un veicolo con fari a luce abbagliante accesi, occorre tener conto della ridotta visibilità nel nostro comportamento di guida",V
strada extraurbana di notte,"Allorché di notte, su strada extraurbana, incrociamo un veicolo con fari a luce abbagliante accesi, occorre evitare brusche manovre e cambi di corsia",V
strada extraurbana di notte,"Allorché di notte, su strada extraurbana, incrociamo un veicolo con fari a luce abbagliante accesi, occorre disporre il retrovisore interno in posizione antiabbagliante",F
strada extraurbana di notte,"Allorché di notte, su strada extraurbana, incrociamo un veicolo con fari a luce abbagliante accesi, occorre procedere a nostra volta con i fari abbaglianti, per veder meglio la strada",F
strada extraurbana di notte,"Allorché di notte, su strada extraurbana, incrociamo un veicolo con fari a luce abbagliante accesi, occorre fermarsi immediatamente",F
strada extraurbana di notte,"Allorché di notte, su strada extraurbana, incrociamo un veicolo con fari a luce abbagliante accesi, occorre azionare le trombe bitonali per richiamare l'attenzione del veicolo incrociante",F
strada extraurbana di notte,"Allorché di notte, su strada extraurbana, incrociamo un veicolo con fari a luce abbagliante accesi, occorre cercare di ripararsi gli occhi con le mani",F
evitare pericolo e intralcio,"Per non costituire pericolo o intralcio per la circolazione, è necessario guidare in modo adeguato alle caratteristiche del veicolo, della strada e del traffico",V
evitare pericolo e intralcio,"Per non costituire pericolo o intralcio per la circolazione, è necessario osservare non solo le norme sulla circolazione, ma anche le cautele dettate dal buonsenso",V
evitare pericolo e intralcio,"Per non costituire pericolo o intralcio per la circolazione, è necessario unire all'applicazione delle fondamentali norme sulla circolazione un forte senso civico",V
evitare pericolo e intralcio,"Per non costituire pericolo o intralcio per la circolazione, è necessario limitarsi ad osservare i limiti massimi di velocità",F
evitare pericolo e intralcio,"Per non costituire pericolo o intralcio per la circolazione, è necessario procedere sempre a velocità costante",F
evitare pericolo e intralcio,"Per non costituire pericolo o intralcio per la circolazione, è necessario dare, comunque, la precedenza a tutti i veicoli negli incroci",F
evitare pericolo e intralcio,"Per non costituire pericolo o intralcio per la circolazione, è necessario limitarsi ad osservare i limiti minimi di velocità",F
condizioni di traffico intenso,In caso di traffico intenso il conducente deve regolare la propria velocità uniformandola il più possibile a quella della corrente di traffico che scorre lungo la corsia occupata,V
condizioni di traffico intenso,In caso di traffico intenso il conducente deve mantenere sempre la distanza di sicurezza dal veicolo che lo precede,V
condizioni di traffico intenso,In caso di traffico intenso il conducente deve evitare di suonare il clacson per invitare i veicoli che lo precedono ad accelerare l'andatura,V
condizioni di traffico intenso,In caso di traffico intenso il conducente deve cambiare ripetutamente corsia di marcia in modo da impegnare sempre quella più libera,F
condizioni di traffico intenso,"In caso di traffico intenso il conducente deve occupare le corsie riservate alla marcia dei veicoli in servizio pubblico, se libere",F
condizioni di traffico intenso,In caso di traffico intenso il conducente deve fare uso del lampeggio simultaneo di tutti gli indicatori di direzione,F
svolta a destra,Per effettuare la svolta a destra occorre tenersi il più vicino possibile al margine destro della carreggiata,V
svolta a destra,"Per effettuare la svolta a destra bisogna segnalare in anticipo la manovra da compiere, azionando l'indicatore di direzione",V
svolta a destra,La svolta a destra si effettua immettendosi nella corsia che consente di eseguire tale manovra,V
svolta a destra,La svolta a destra si effettua moderando la velocità man mano che ci si avvicina al punto di svolta,V
svolta a destra,La svolta a destra si effettua senza creare pericolo o intralcio agli altri,V
svolta a destra,Per svoltare a destra bisogna tenersi il più vicino possibile al margine sinistro della carreggiata,F
svolta a destra,Per svoltare a destra bisogna tenersi sulla corsia di sinistra,F
svolta a destra,"La svolta a destra si effettua senza mai dare la precedenza ai pedoni, se il semaforo ha la luce verde accesa",F
svolta a destra,La svolta a destra si effettua girando attorno alla colonnina luminosa eventualmente posta al centro dell'incrocio,F
svolta a destra,Quando si vuole svoltare a destra è necessario portarsi in vicinanza del centro dell'incrocio,F
impegno delle corsie,"Su una strada a tre corsie a doppio senso di marcia, in figura, si deve impegnare quella centrale solo per il sorpasso",V
impegno delle corsie,"Su una strada a due corsie a doppio senso di marcia, in figura, si deve impegnare quella di sinistra solo per il sorpasso",V
impegno delle corsie,Sulle strade extraurbane principali la sosta è consentita solo nelle apposite aree,V
impegno delle corsie,"Su una strada a due carreggiate separate, in figura, si deve percorrere la carreggiata di destra per la marcia normale e quella di sinistra per il sorpasso",F
impegno delle corsie,"Nelle strade composte da una carreggiata a due corsie a doppio senso di marcia, in figura, si può marciare per file parallele",F
impegno delle corsie,"Nelle strade a quattro carreggiate separate, quelle centrali sono riservate al sorpasso",F
cambio corsia,Chi intende cambiare corsia deve controllare che la corsia che vuole occupare sia libera davanti per un tratto sufficiente,V
cambio corsia,Chi intende cambiare corsia deve controllare che la corsia che vuole occupare sia libera dietro per un tratto sufficiente,V
cambio corsia,"Chi intende cambiare corsia, per effettuare un sorpasso, deve controllare che il veicolo che sta davanti non abbia segnalato l'inizio della stessa manovra",V
cambio corsia,"Chi intende cambiare corsia deve segnalare la manovra in anticipo, tramite l'indicatore di direzione",V
cambio corsia,Chi intende cambiare corsia non deve creare intralcio o pericolo per chi percorre la corsia che vuole impegnare,V
cambio corsia,Chi intende cambiare corsia non deve azionare l'indicatore di direzione se la strada è libera,F
cambio corsia,Chi intende cambiare corsia ha l'obbligo di segnalare la manovra con l'uso dell'avvisatore acustico (clacson o trombe),F
cambio corsia,Prima di cambiare corsia è necessario accertare che le corsie siano separate da una striscia continua,F
svolta in carreggiata a doppio senso,In una carreggiata a doppio senso di circolazione per svoltare a sinistra bisogna avvicinarsi al centro della carreggiata,V
svolta in carreggiata a doppio senso,"In una carreggiata a doppio senso di circolazione per svoltare a sinistra occorre, di norma, occupare l'area sinistra dell'incrocio, come i veicoli in figura, salvo diversa segnalazione",V
svolta in carreggiata a doppio senso,"In una carreggiata a doppio senso di circolazione per svoltare a sinistra bisogna girare intorno al centro dell'incrocio come il veicolo H in figura, se c'è il segnale di rotatoria",V
svolta in carreggiata a doppio senso,"In una carreggiata a doppio senso di circolazione per svoltare a sinistra bisogna dare la precedenza ai veicoli provenienti da destra, salvo diversa segnalazione",V
svolta in carreggiata a doppio senso,In una carreggiata a doppio senso di circolazione per svoltare a sinistra occorre spostarsi il più possibile sul margine sinistro della carreggiata,F
svolta in carreggiata a doppio senso,"In una carreggiata a doppio senso di circolazione per svoltare a sinistra bisogna effettuare la manovra velocemente, per evitare i veicoli provenienti da destra e da sinistra",F
svolta in carreggiata a doppio senso,"In una carreggiata a doppio senso di circolazione per svoltare a sinistra bisogna effettuare la svolta occupando sempre il lato destro dell'incrocio, come i veicoli in figura",F
svolta in carreggiata a doppio senso,"In una carreggiata a doppio senso di circolazione per svoltare a sinistra bisogna dare la precedenza ai veicoli che arrivano da sinistra, salvo diversa segnalazione",F
svolta in carreggiata a doppio senso,"In una carreggiata a doppio senso di circolazione per svoltare a sinistra occorre suonare il clacson, per attraversare con maggior sicurezza l'incrocio",F
utilizzo corsie e file parallele,"I veicoli devono, di norma, circolare sulla parte destra della carreggiata ed in vicinanza del margine destro",V
utilizzo corsie e file parallele,"In una strada divisa in due carreggiate separate come in figura, i veicoli devono, di norma, circolare sulla carreggiata di destra rispetto alla propria direzione di marcia",V
utilizzo corsie e file parallele,"Su una strada divisa in tre carreggiate separate come in figura, i veicoli devono, di norma, circolare sulla carreggiata centrale o su quella di destra rispetto alla propria direzione di marcia",V
utilizzo corsie e file parallele,"In una carreggiata a doppio senso di marcia con due corsie, come in figura, i veicoli devono circolare nella corsia di destra, impegnando solo quella di sinistra per il sorpasso",V
utilizzo corsie e file parallele,"Su carreggiate a tre corsie per senso di marcia, come in figura, i veicoli a motore devono, di norma, percorrere la corsia più libera a destra",V
utilizzo corsie e file parallele,I veicoli a motore possono circolare per file parallele in vicinanza di incroci regolati da vigili o da semafori,V
utilizzo corsie e file parallele,I veicoli senza motore devono circolare il più possibile vicino al margine destro della carreggiata,V
utilizzo corsie e file parallele,Chi conduce gli animali li deve tenere il più possibile vicino al margine destro della carreggiata,V
