大分类,小分类,图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",emorragia esterna,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",corpo estraneo nell'occhio,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",stato di shock,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",ferito in stato di shock,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",ferito in stato di incoscienza,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",infortunato della strada,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",infortunato con fratture agli arti,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",ferito ustionato,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",attività del soccorritore,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",cause di shock,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",assunzione di alcool,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",occhiali e lenti a contatto,无图片
"Responsabilità civile, penale e amministrativa, assicurazione r.c.a. e altre forme assicurative legate al veicolo",risarcimento danni,无图片
"Responsabilità civile, penale e amministrativa, assicurazione r.c.a. e altre forme assicurative legate al veicolo",responsabile di un sinistro stradale,无图片
"Responsabilità civile, penale e amministrativa, assicurazione r.c.a. e altre forme assicurative legate al veicolo",responsabilità penale,无图片
"Responsabilità civile, penale e amministrativa, assicurazione r.c.a. e altre forme assicurative legate al veicolo",casi di responsabilità penale,无图片
"Responsabilità civile, penale e amministrativa, assicurazione r.c.a. e altre forme assicurative legate al veicolo",responsabilità civile,无图片
"Responsabilità civile, penale e amministrativa, assicurazione r.c.a. e altre forme assicurative legate al veicolo",assicurazione RCA,无图片
"Responsabilità civile, penale e amministrativa, assicurazione r.c.a. e altre forme assicurative legate al veicolo",responsabilità per danni,无图片
"Responsabilità civile, penale e amministrativa, assicurazione r.c.a. e altre forme assicurative legate al veicolo",assicurazione scaduta,无图片
"Responsabilità civile, penale e amministrativa, assicurazione r.c.a. e altre forme assicurative legate al veicolo",fondo garanzia vittime strada,无图片
"Responsabilità civile, penale e amministrativa, assicurazione r.c.a. e altre forme assicurative legate al veicolo",furto e incendio,无图片
"Responsabilità civile, penale e amministrativa, assicurazione r.c.a. e altre forme assicurative legate al veicolo",massimali della polizza RCA,无图片
"Responsabilità civile, penale e amministrativa, assicurazione r.c.a. e altre forme assicurative legate al veicolo",formula bonus malus,无图片
"Responsabilità civile, penale e amministrativa, assicurazione r.c.a. e altre forme assicurative legate al veicolo",coperture dell'assicurazione,无图片
"Responsabilità civile, penale e amministrativa, assicurazione r.c.a. e altre forme assicurative legate al veicolo",assicurazioni e imprese assicuratrici,无图片
"Responsabilità civile, penale e amministrativa, assicurazione r.c.a. e altre forme assicurative legate al veicolo",psicologia del traffico,无图片
"Limitazione dei consumi, rispetto dell'ambiente e inquinamento",consumi di carburante,无图片
"Limitazione dei consumi, rispetto dell'ambiente e inquinamento",rumori fastidiosi,无图片
"Limitazione dei consumi, rispetto dell'ambiente e inquinamento",rumore dei veicoli a motore,无图片
"Limitazione dei consumi, rispetto dell'ambiente e inquinamento",diminuire il rumore,无图片
"Limitazione dei consumi, rispetto dell'ambiente e inquinamento",rimorchi e pneumatici,无图片
"Limitazione dei consumi, rispetto dell'ambiente e inquinamento",inquinamento dell'aria,无图片
"Limitazione dei consumi, rispetto dell'ambiente e inquinamento",inquinamento atmosferico,无图片
"Limitazione dei consumi, rispetto dell'ambiente e inquinamento",iniettori e fumi di scarico,无图片
"Limitazione dei consumi, rispetto dell'ambiente e inquinamento",accorgimenti per ridurre inquinamento,无图片
"Limitazione dei consumi, rispetto dell'ambiente e inquinamento",sostituzione filtri,无图片
"Limitazione dei consumi, rispetto dell'ambiente e inquinamento",salvaguardare l'ambiente,无图片
"Limitazione dei consumi, rispetto dell'ambiente e inquinamento",aumento e limitazione dei consumi,无图片
"Limitazione dei consumi, rispetto dell'ambiente e inquinamento",veicoli modificati,无图片
"Limitazione dei consumi, rispetto dell'ambiente e inquinamento",scarico e smaltimento,无图片
"Limitazione dei consumi, rispetto dell'ambiente e inquinamento",divieti generici,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",la forza aderente,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",aumento della forza aderente,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",coefficiente di aderenza,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",coefficiente basso di aderenza,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",conduzione del motociclo,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",asfalto e forza aderente,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",percorrenza di una curva,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",ribaltamento in curva,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",forza ribaltante,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",funzioni del ABS,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",pressione gonfiaggio,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",pneumatici tubeless,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",pneumatici da neve,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",sostituzione ruota,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",frenate di emergenza,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",rischio incendio del veicolo,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",varie di manutenzione,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",pulizia dei cristalli,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",condizioni dei pneumatici,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",frenata e freno di stazionamento,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",frenatura poco efficiente,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",sospensioni veicolo a motore,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",cause sospensioni inefficienti,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",ammortizzatori e sovraccarico,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",ammortizzatori nei veicoli a motore,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",Sterzo e servosterzo,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",impianto di scarico,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",interruttore di emergenza,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",catena di trasmissione,无图片
"Elementi costitutivi del veicolo, manutenzione ed uso, stabilità e tenuta di strada, comportamenti e cautele di guida",Livello olio e liquidi,无图片
